Series Name,Series Code,Country Name,Country Code,1990 [YR1990],2000 [YR2000],2007 [YR2007],2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Refugee population by country or territory of asylum,SM.POP.REFG,Latvia,LVA,..,7,29,32,43,68,95,125,160,183,208,..
Refugee population by country or territory of asylum,SM.POP.REFG,Lebanon,LBN,304599,382744,464299,472607,476053,463436,445144,575483,1303874,1606709,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Lesotho,LSO,214,..,..,..,..,..,34,34,30,44,31,..
Refugee population by country or territory of asylum,SM.POP.REFG,Liberia,LBR,..,69315,10466,10224,6952,24743,128293,65909,53253,38595,36505,..
Refugee population by country or territory of asylum,SM.POP.REFG,Libya,LBY,..,11543,4098,6713,9005,7923,10130,7065,25561,27964,9305,..
Refugee population by country or territory of asylum,SM.POP.REFG,Liechtenstein,LIE,..,70,283,89,91,92,94,102,97,103,150,..
Refugee population by country or territory of asylum,SM.POP.REFG,Lithuania,LTU,..,55,688,751,793,803,821,871,916,1007,1093,..
Refugee population by country or territory of asylum,SM.POP.REFG,Luxembourg,LUX,687,759,2737,3109,3230,3254,2855,2910,2873,1108,1332,..
Refugee population by country or territory of asylum,SM.POP.REFG,"Macao SAR, China",MAC,205,..,..,..,6,..,1,..,..,..,0,..
Refugee population by country or territory of asylum,SM.POP.REFG,"Macedonia, FYR",MKD,..,9050,1235,1672,1542,1398,1130,1077,982,883,701,..
Refugee population by country or territory of asylum,SM.POP.REFG,Madagascar,MDG,..,50,..,..,..,..,9,9,12,11,10,..
Refugee population by country or territory of asylum,SM.POP.REFG,Malawi,MWI,926725,3900,2929,4175,5443,5740,6308,6544,5796,5874,9019,..
Refugee population by country or territory of asylum,SM.POP.REFG,Malaysia,MYS,14862,50487,32658,36671,66137,81516,86680,90185,97513,99381,94166,..
Refugee population by country or territory of asylum,SM.POP.REFG,Maldives,MDV,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Mali,MLI,13411,8412,9203,9578,13538,13558,15624,13928,14316,15195,15917,..
Refugee population by country or territory of asylum,SM.POP.REFG,Malta,MLT,..,190,3000,4332,5955,6136,6952,8248,9906,6095,7075,..
Refugee population by country or territory of asylum,SM.POP.REFG,Marshall Islands,MHL,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Mauritania,MRT,60000,350,30471,27041,26795,26717,26535,80496,92767,75635,77394,..
Refugee population by country or territory of asylum,SM.POP.REFG,Mauritius,MUS,..,..,..,..,..,..,..,..,..,0,0,..
Refugee population by country or territory of asylum,SM.POP.REFG,Mexico,MEX,356400,18451,1616,1055,1235,1395,1677,1520,1831,1837,2923,..
Refugee population by country or territory of asylum,SM.POP.REFG,"Micronesia, Fed. Sts.",FSM,..,..,2,1,1,..,..,..,..,0,3,..
Refugee population by country or territory of asylum,SM.POP.REFG,Moldova,MDA,..,68,151,148,141,148,146,185,250,335,446,..
Refugee population by country or territory of asylum,SM.POP.REFG,Monaco,MCO,..,..,..,..,..,..,37,37,34,33,32,..
Refugee population by country or territory of asylum,SM.POP.REFG,Mongolia,MNG,..,..,5,11,11,12,1,4,9,6,9,..
Refugee population by country or territory of asylum,SM.POP.REFG,Montenegro,MNE,..,..,8528,24741,24019,16364,12874,11198,8476,6462,1771,..
Refugee population by country or territory of asylum,SM.POP.REFG,Morocco,MAR,311,2105,786,766,773,792,736,744,1470,1216,3908,..
Refugee population by country or territory of asylum,SM.POP.REFG,Mozambique,MOZ,420,207,2767,3163,3547,4077,4079,4398,4445,4536,5622,..
Refugee population by country or territory of asylum,SM.POP.REFG,Myanmar,MMR,..,..,..,..,..,..,..,..,..,0,0,..
Refugee population by country or territory of asylum,SM.POP.REFG,Namibia,NAM,..,27263,6525,6799,7163,7254,6049,1806,2332,1767,1737,..
Refugee population by country or territory of asylum,SM.POP.REFG,Nauru,NRU,..,..,..,..,..,..,..,..,..,389,506,..
Refugee population by country or territory of asylum,SM.POP.REFG,Nepal,NPL,17800,129237,130681,124832,108461,89808,72654,56264,46305,38490,32667,..
Refugee population by country or territory of asylum,SM.POP.REFG,Netherlands,NLD,17337,146180,86587,77600,76008,74961,74598,71909,74707,82494,88536,..
Refugee population by country or territory of asylum,SM.POP.REFG,New Caledonia,NCL,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,New Zealand,NZL,4666,4923,2740,2716,3289,2307,1934,1517,1403,1349,1337,..
Refugee population by country or territory of asylum,SM.POP.REFG,Nicaragua,NIC,16000,332,184,147,120,64,86,129,189,280,330,..
Refugee population by country or territory of asylum,SM.POP.REFG,Niger,NER,792,58,319,320,325,314,302,50510,57661,77830,124721,..
Refugee population by country or territory of asylum,SM.POP.REFG,Nigeria,NGA,3571,7270,8460,10124,9127,8747,8806,3154,1694,1239,1395,..
Refugee population by country or territory of asylum,SM.POP.REFG,Northern Mariana Islands,MNP,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Norway,NOR,19581,47693,34522,36101,37826,40260,40691,42822,46106,47043,50389,..
Refugee population by country or territory of asylum,SM.POP.REFG,Oman,OMN,..,..,7,7,26,78,83,138,138,151,245,..
Refugee population by country or territory of asylum,SM.POP.REFG,Pakistan,PAK,3255975,2001466,2035023,1780935,1740711,1900621,1702700,1638456,1616507,1505525,1561162,..
Refugee population by country or territory of asylum,SM.POP.REFG,Palau,PLW,..,..,..,..,11,..,1,1,1,1,0,..
Refugee population by country or territory of asylum,SM.POP.REFG,Panama,PAN,1350,1313,16890,16913,16923,17073,17262,17429,17665,17271,17322,..
Refugee population by country or territory of asylum,SM.POP.REFG,Papua New Guinea,PNG,7099,5863,10003,10006,9703,9698,9377,9383,9378,9510,9510,..
Refugee population by country or territory of asylum,SM.POP.REFG,Paraguay,PRY,66,21,62,75,89,107,124,133,136,153,172,..
Refugee population by country or territory of asylum,SM.POP.REFG,Peru,PER,724,687,995,1075,1108,1146,1144,1122,1162,1303,1488,..
Refugee population by country or territory of asylum,SM.POP.REFG,Philippines,PHL,19860,176,106,104,95,243,125,141,182,222,269,..
Refugee population by country or territory of asylum,SM.POP.REFG,Poland,POL,..,1020,10053,12774,15320,15555,15847,15911,16438,15741,14065,..
Refugee population by country or territory of asylum,SM.POP.REFG,Portugal,PRT,867,433,353,403,389,384,408,483,598,699,699,..
Refugee population by country or territory of asylum,SM.POP.REFG,Puerto Rico,PRI,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Qatar,QAT,..,31,46,13,29,51,80,80,130,133,120,..
Refugee population by country or territory of asylum,SM.POP.REFG,Romania,ROM,..,1685,1757,1596,1069,1021,1005,1262,1770,2182,2598,..
Refugee population by country or territory of asylum,SM.POP.REFG,Russian Federation,RUS,..,26265,1655,3479,4880,4922,3914,3178,3458,235750,314506,..
Refugee population by country or territory of asylum,SM.POP.REFG,Rwanda,RWA,23601,28398,53577,55062,54016,55398,55325,58212,73349,73820,144737,..
Refugee population by country or territory of asylum,SM.POP.REFG,Samoa,WSM,..,..,..,..,..,..,..,..,..,..,0,..
Refugee population by country or territory of asylum,SM.POP.REFG,San Marino,SMR,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Sao Tome and Principe,STP,..,..,..,..,..,..,..,..,..,0,0,..
Refugee population by country or territory of asylum,SM.POP.REFG,Saudi Arabia,SAU,..,5309,240742,240572,575,582,599,577,559,561,125,..
Refugee population by country or territory of asylum,SM.POP.REFG,Senegal,SEN,58113,20766,20421,33193,22151,20672,20644,14237,14247,14274,14392,..
Refugee population by country or territory of asylum,SM.POP.REFG,Serbia,SRB,..,..,97995,96739,86351,73608,70707,66370,57083,43751,35332,..
Refugee population by country or territory of asylum,SM.POP.REFG,Seychelles,SYC,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Sierra Leone,SLE,125830,6546,8795,7826,9051,8363,8092,4204,2817,1372,760,..
Refugee population by country or territory of asylum,SM.POP.REFG,Singapore,SGP,146,..,10,10,7,7,3,3,3,3,0,..
Refugee population by country or territory of asylum,SM.POP.REFG,Sint Maarten (Dutch part),SXM,..,..,..,..,..,1,3,3,3,3,3,..
Refugee population by country or territory of asylum,SM.POP.REFG,Slovak Republic,SVK,..,457,279,317,401,461,546,662,701,799,820,..
Refugee population by country or territory of asylum,SM.POP.REFG,Slovenia,SVN,..,2816,263,268,289,314,142,176,213,257,292,..
Refugee population by country or territory of asylum,SM.POP.REFG,Solomon Islands,SLB,..,..,..,..,..,..,..,..,..,3,3,..
Refugee population by country or territory of asylum,SM.POP.REFG,Somalia,SOM,460000,558,901,1842,1815,1937,2099,2309,2425,2729,8081,..
Refugee population by country or territory of asylum,SM.POP.REFG,South Africa,ZAF,..,15063,36736,43546,47974,57899,57899,65233,65881,112192,121645,..
Refugee population by country or territory of asylum,SM.POP.REFG,South Sudan,SSD,..,..,..,..,..,..,105023,202581,229587,248152,263016,..
Refugee population by country or territory of asylum,SM.POP.REFG,Spain,ESP,8303,6987,5147,4661,3970,3820,4228,4510,4637,5798,5798,..
Refugee population by country or territory of asylum,SM.POP.REFG,Sri Lanka,LKA,..,16,182,269,251,223,188,110,145,511,784,..
Refugee population by country or territory of asylum,SM.POP.REFG,St. Kitts and Nevis,KNA,..,..,..,..,..,..,..,..,..,1,0,..
Refugee population by country or territory of asylum,SM.POP.REFG,St. Lucia,LCA,..,..,..,..,..,..,2,2,5,3,1,..
Refugee population by country or territory of asylum,SM.POP.REFG,St. Martin (French part),MAF,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,St. Vincent and the Grenadines,VCT,..,..,..,..,..,..,..,..,..,0,0,..
Refugee population by country or territory of asylum,SM.POP.REFG,Sudan,SDN,1031050,414928,222722,181605,186292,178308,139415,152194,159857,277833,309639,..
Refugee population by country or territory of asylum,SM.POP.REFG,Suriname,SUR,..,..,1,1,1,1,..,..,..,0,1,..
Refugee population by country or territory of asylum,SM.POP.REFG,Swaziland,SWZ,42074,690,789,775,759,759,759,505,507,515,696,..
Refugee population by country or territory of asylum,SM.POP.REFG,Sweden,SWE,109663,157220,75078,77038,81356,82629,86615,92872,114175,142207,169520,..
Refugee population by country or territory of asylum,SM.POP.REFG,Switzerland,CHE,40943,57653,45653,46132,46203,48813,50416,50747,52464,62620,73336,..
Refugee population by country or territory of asylum,SM.POP.REFG,Syrian Arab Republic,SYR,284856,390989,1955236,1567595,1526575,1501442,1242391,975695,666547,677756,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Tajikistan,TJK,..,15364,1133,1799,2679,3131,3323,2248,2048,2026,1969,..
Refugee population by country or territory of asylum,SM.POP.REFG,Tanzania,TZA,265184,680862,435630,321909,118731,109286,131243,101021,102099,88492,211845,..
Refugee population by country or territory of asylum,SM.POP.REFG,Thailand,THA,99821,104965,125643,112932,105297,96675,89253,84479,136499,130238,108261,..
Refugee population by country or territory of asylum,SM.POP.REFG,Timor-Leste,TMP,..,..,1,1,1,1,..,..,..,0,0,..
Refugee population by country or territory of asylum,SM.POP.REFG,Togo,TGO,3477,12223,1328,9377,8531,14051,19270,23540,20613,21778,21953,..
Refugee population by country or territory of asylum,SM.POP.REFG,Tonga,TON,..,..,..,..,..,..,2,3,3,0,0,..
Refugee population by country or territory of asylum,SM.POP.REFG,Trinidad and Tobago,TTO,..,..,22,33,37,29,22,18,20,83,114,..
Refugee population by country or territory of asylum,SM.POP.REFG,Tunisia,TUN,30,436,101,94,92,89,4097,1435,730,901,665,..
Refugee population by country or territory of asylum,SM.POP.REFG,Turkey,TUR,28000,3103,6956,11103,10350,10032,14465,267063,609938,1587374,2541352,..
Refugee population by country or territory of asylum,SM.POP.REFG,Turkmenistan,TKM,..,14188,125,79,60,62,59,46,45,35,26,..
Refugee population by country or territory of asylum,SM.POP.REFG,Turks and Caicos Islands,TCA,..,..,..,..,..,..,..,..,4,4,4,..
Refugee population by country or territory of asylum,SM.POP.REFG,Tuvalu,TUV,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,Uganda,UGA,145718,236622,228959,162132,127345,135801,139448,197877,220555,385513,477187,..
Refugee population by country or territory of asylum,SM.POP.REFG,Ukraine,UKR,..,2951,7277,7201,7334,3022,3176,2807,2968,3219,3273,..
Refugee population by country or territory of asylum,SM.POP.REFG,United Arab Emirates,ARE,..,562,159,209,279,538,677,631,603,417,663,..
Refugee population by country or territory of asylum,SM.POP.REFG,United Kingdom,GBR,43632,186248,299718,292097,269363,238150,193510,149799,126055,117234,123067,..
Refugee population by country or territory of asylum,SM.POP.REFG,United States,USA,464887,508222,281219,279548,275461,264574,264763,262023,263662,267222,273202,..
Refugee population by country or territory of asylum,SM.POP.REFG,Uruguay,URY,87,79,140,145,168,189,174,181,203,272,301,..
Refugee population by country or territory of asylum,SM.POP.REFG,Uzbekistan,UZB,..,38350,1054,821,555,311,214,176,141,125,107,..
Refugee population by country or territory of asylum,SM.POP.REFG,Vanuatu,VUT,..,..,1,3,4,4,..,2,2,0,0,..
Refugee population by country or territory of asylum,SM.POP.REFG,"Venezuela, RB",VEN,1750,132,200907,201161,201313,201547,202022,203644,204340,173600,173754,..
Refugee population by country or territory of asylum,SM.POP.REFG,Vietnam,VNM,21150,15945,2357,2357,2357,1928,990,..,..,0,0,..
Refugee population by country or territory of asylum,SM.POP.REFG,Virgin Islands (U.S.),VIR,..,..,..,..,..,..,..,..,..,..,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,West Bank and Gaza,WBG,910637,1428891,1793901,1836123,1885188,2015855,1895043,1944544,1994493,2051098,..,..
Refugee population by country or territory of asylum,SM.POP.REFG,"Yemen, Rep.",YEM,2938,60545,117363,140169,170854,190092,214740,237182,241288,257645,267173,..
Refugee population by country or territory of asylum,SM.POP.REFG,Zambia,ZMB,138049,250940,112931,83485,56785,47857,45632,25653,23594,25578,26447,..
Refugee population by country or territory of asylum,SM.POP.REFG,Zimbabwe,ZWE,190950,4127,3981,3468,3995,4435,4561,4356,6389,6079,6950,..
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
Data from database: World Development Indicators,,,,,,,,,,,,,,,
Last Updated: 02/01/2017,,,,,,,,,,,,,,,
